departamento,lat_median,lon_median
Amazonas,-5.754014,-78.44410099999999
Apurímac,-13.638792,-72.890389
Arequipa,-16.400973999999998,-71.545114477
Ayacucho,-13.1608615,-74.222561
Cajamarca,-7.15388,-78.507822
Callao,-12.050353000000001,-77.114169
Cusco,-13.5285865,-71.95137199999999
Huancavelica,-13.85901,-76.0143397245
Huánuco,-9.9182995,-76.2304825
Junín,-12.043753,-75.20971
La Libertad,-8.108626,-79.036086
Lambayeque,-6.774813,-79.8477405
Lima,-12.089362999999999,-77.021762
Loreto,-3.756421,-73.2559821
Madre de Dios,-12.596472,-69.179768
Moquegua,-17.61108385,-71.32691750000001
Pasco,-10.665011,-76.246866
Piura,-5.171466,-80.638402
Puno,-15.5135825,-70.1223945
San Martín,-6.482371,-76.39287
Tacna,-18.013771,-70.247731
Tumbes,-3.5577855,-80.425956
Ucayali,-8.384894,-74.555821
Áncash,-9.12424265,-78.522097
